provider,mode,query_id,category,hit_at_k,recall_at_k,precision_at_k,reciprocal_rank,all_relevant_at_k,prohibited_at_k,prohibited_count,useful_before_harmful,returned_count,returned_chars,returned_words,latency_ms,retrieved_ids,relevant_ids,prohibited_ids
bm25,raw,Q001,exact,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,614,94,1.6048099987528985,"['M001', 'M496', 'M484', 'M472', 'M460']",['M001'],[]
bm25,raw,Q002,exact,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,442,68,1.447902999643702,"['M002', 'M023', 'M024', 'M011', 'M021']",['M002'],[]
bm25,raw,Q003,exact,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,628,95,1.1141400009364588,"['M496', 'M484', 'M472', 'M460', 'M448']",['M005'],"['M035', 'M036']"
bm25,raw,Q004,semantic,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,677,106,2.279488000567653,"['M006', 'M007', 'M045', 'M025', 'M026']",['M006'],[]
bm25,raw,Q005,semantic,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,607,96,2.1786960005556466,"['M007', 'M045', 'M027', 'M046', 'M047']",['M007'],[]
bm25,raw,Q006,semantic,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,626,94,1.518539998869528,"['M008', 'M007', 'M006', 'M044', 'M047']",['M008'],[]
bm25,raw,Q007,temporal_current,1.0,1.0,0.2,0.5,1.0,0.2,1,0.0,5,296,45,1.4558260008925572,"['M011', 'M012', 'M048', 'M021', 'M041']",['M012'],['M011']
bm25,raw,Q008,temporal_current,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,563,78,1.5150250001170207,"['M022', 'M497', 'M485', 'M473', 'M461']",['M014'],['M013']
bm25,raw,Q009,temporal_current,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,341,52,1.6147149999596877,"['M016', 'M015', 'M039', 'M050', 'M022']",['M016'],['M015']
bm25,raw,Q010,temporal_asof,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,594,90,0.7638120005140081,"['M217', 'M205', 'M193', 'M181', 'M169']",['M013'],['M014']
bm25,raw,Q011,temporal_asof,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,561,84,0.5349769999156706,"['M010', 'M009', 'M193', 'M181', 'M169']",['M011'],['M012']
